sample-id	input	filtered	denoised	non-chimeric
#q2:types	numeric	numeric	numeric	numeric
C10-16S_V3-V4	77844	62845	60212	40732
C11-16S_V3-V4	124112	101713	98957	65885
C12-16S_V3-V4	165712	132637	129404	84179
C2-16S_V3-V4	128934	108199	106063	69809
C3-16S_V3-V4	115280	91838	90074	60688
C4-16S_V3-V4	111306	93266	91044	61273
C5-16S_V3-V4	92243	75275	72873	51584
C6-16S_V3-V4	99873	82060	80337	58570
C7-16S_V3-V4	107898	90188	88507	63397
C8-16S_V3-V4	95840	78633	77278	59588
C9-16S_V3-V4	87752	72982	71453	49528
WA1-16S_V3-V4	77909	62593	61245	47351
WA11-16S_V3-V4	83227	68651	68601	68601
WA2-16S_V3-V4	127021	104238	101641	72862
WA3-16S_V3-V4	72300	58122	56482	42649
WA4-16S_V3-V4	62206	50241	49020	37723
WA5-16S_V3-V4	59531	46029	44913	33186
WA6-16S_V3-V4	67039	54778	53103	38677
WA7-16S_V3-V4	58039	48174	47600	41021
WA8-16S_V3-V4	63521	51941	50202	36070
WA9-16S_V3-V4	53930	42848	41360	30420
WS1-16S_V3-V4	133201	109792	106772	71902
WS10-16S_V3-V4	64550	53198	50636	36784
WS11-16S_V3-V4	97723	80074	77771	57750
WS2-16S_V3-V4	98665	78168	76758	55741
WS3-16S_V3-V4	83300	69251	67647	48579
WS4-16S_V3-V4	90326	71833	69708	52090
WS5-16S_V3-V4	105480	86627	84393	58241
WS6-16S_V3-V4	87823	73228	70838	50499
WS7-16S_V3-V4	77194	64449	62594	46379
WS8-16S_V3-V4	77360	64181	62188	43608
WS9-16S_V3-V4	85290	72097	69458	48041
